OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10,1000,45.6,108,123,138,4
-10,1250,58.7,113,124,138,4
-10,1500,65.4,121,129,142,4
-10,1750,69.9,128,133,145,4
-10,2000,74.4,134,137,148,4
-10,2250,78.2,140,140,151,4
-10,2500,79.25,141,141,152,7
-10,2750,79.25,141,141,152,7
-10,3000,79.25,141,141,152,7
-10,3250,79.25,141,141,152,7
-10,3500,79.25,141,141,152,7
0,1250,57.4,111,124,138,4
0,1500,64.4,119,129,142,4
0,1750,68.9,126,132,145,4
0,2000,73.3,132,136,148,4
0,2250,77.2,138,139,150,4
0,2500,79.25,141,141,152,7
0,2750,79.25,141,141,152,7
0,3000,79.25,141,141,152,7
0,3250,79.25,141,141,152,7
0,3500,79.25,141,141,152,7
10,1250,55.9,110,123,138,4
10,1500,63.2,117,128,141,4
10,1750,67.9,125,131,144,4
10,2000,72.3,131,135,147,4
10,2250,76.3,136,138,149,4
10,2500,79.25,141,141,152,7
10,2750,79.25,141,141,152,7
10,3000,79.25,141,141,152,7
10,3250,79.25,141,141,152,7
10,3500,79.25,141,141,152,7
20,1250,54.1,108,123,138,4
20,1500,62.2,116,127,140,4
20,1750,66.9,123,131,143,4
20,2000,71.4,129,134,146,4
20,2250,75.4,135,138,149,4
20,2500,78.8,140,140,151,4
20,2750,79.25,140,141,152,7
20,3000,79.25,140,141,152,7
20,3250,79.25,140,141,152,7
20,3500,79.25,141,141,152,7
25,1250,53.2,108,123,138,4
25,1500,61.7,115,126,140,4
25,1750,66.5,122,130,143,4
25,2000,70.9,128,134,146,4
25,2250,74.9,134,137,149,4
25,2500,78.4,139,140,151,4
25,2750,79.25,140,141,152,7
25,3000,79.25,140,141,152,7
25,3250,79.25,140,141,152,7
25,3500,79.25,141,141,152,7
30,1250,50.3,108,123,138,4
30,1500,60.0,114,125,139,4
30,1750,65.0,121,129,142,4
30,2000,69.2,127,133,145,4
30,2250,73.0,133,136,147,4
30,2500,76.4,138,138,150,4
30,2750,79.25,141,141,152,7
30,3000,79.25,141,141,152,7
30,3250,79.25,141,141,152,7
30,3500,79.25,141,141,152,7
35,1250,48.0,108,123,138,4
35,1500,57.4,113,124,138,4
35,1750,62.8,120,127,140,4
35,2000,67.1,126,131,143,4
35,2250,70.8,131,134,146,4
35,2500,74.1,136,137,148,4
35,2750,76.8,139,139,150,4
35,3000,79.25,141,141,152,7
35,3250,79.25,141,141,152,7
35,3500,79.25,141,141,152,7
40,1500,54.9,112,123,138,4
40,1750,60.8,118,126,139,4
40,2000,65.0,124,129,142,4
40,2250,68.5,130,132,144,4
40,2500,71.5,134,134,146,4
40,2750,74.3,137,137,148,4
40,3000,76.3,138,138,150,4
40,3250,78.1,140,140,151,4
40,3500,78.2,140,140,151,2
