OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,51.6,108,123,138,4
-10.0,1250,62.7,116,127,140,4
-10.0,1500,68.8,125,132,144,4
-10.0,1750,73.6,132,136,148,4
-10.0,2000,78.2,138,140,151,4
-10.0,2250,79.25,140,141,152,7
-10.0,2500,79.25,140,141,152,7
-10.0,2750,79.25,140,141,152,7
-9.0,1000,51.37,108,123,138,4
-9.0,1250,62.59,116,127,140,4
-9.0,1500,68.7,125,132,144,4
-9.0,1750,73.5,132,136,148,4
-9.0,2000,78.1,138,140,151,4
-9.0,2250,79.25,140,141,152,7
-9.0,2500,79.25,140,141,152,7
-9.0,2750,79.25,140,141,152,7
-8.0,1000,51.14,108,123,138,4
-8.0,1250,62.48,116,127,140,4
-8.0,1500,68.6,125,132,144,4
-8.0,1750,73.4,132,136,148,4
-8.0,2000,78.0,138,140,151,4
-8.0,2250,79.25,140,141,152,7
-8.0,2500,79.25,140,141,152,7
-8.0,2750,79.25,140,141,152,7
-7.0,1000,50.91,108,123,138,4
-7.0,1250,62.37,115,127,140,4
-7.0,1500,68.5,124,132,144,4
-7.0,1750,73.3,131,136,148,4
-7.0,2000,77.9,137,140,151,4
-7.0,2250,79.25,140,141,152,7
-7.0,2500,79.25,140,141,152,7
-7.0,2750,79.25,140,141,152,7
-6.0,1000,50.68,108,123,138,4
-6.0,1250,62.26,115,127,140,4
-6.0,1500,68.4,124,132,144,4
-6.0,1750,73.2,131,136,148,4
-6.0,2000,77.8,137,140,151,4
-6.0,2250,79.25,140,141,152,7
-6.0,2500,79.25,140,141,152,7
-6.0,2750,79.25,140,141,152,7
-5.0,1000,50.45,108,123,138,4
-5.0,1250,62.15,115,126,140,4
-5.0,1500,68.3,124,132,144,4
-5.0,1750,73.1,131,136,148,4
-5.0,2000,77.7,137,140,150,4
-5.0,2250,79.25,140,141,152,7
-5.0,2500,79.25,140,141,152,7
-5.0,2750,79.25,140,141,152,7
-4.0,1000,50.22,108,123,138,4
-4.0,1250,62.04,115,126,139,4
-4.0,1500,68.2,124,131,144,4
-4.0,1750,73.0,131,135,147,4
-4.0,2000,77.6,137,139,150,4
-4.0,2250,79.25,139,141,152,7
-4.0,2500,79.25,139,141,152,7
-4.0,2750,79.25,139,141,152,7
-3.0,1000,49.99,108,123,138,4
-3.0,1250,61.93,115,126,139,4
-3.0,1500,68.1,124,131,144,4
-3.0,1750,72.9,131,135,147,4
-3.0,2000,77.5,137,139,150,4
-3.0,2250,79.25,139,141,152,7
-3.0,2500,79.25,139,141,152,7
-3.0,2750,79.25,139,141,152,7
-2.0,1000,49.76,108,123,138,4
-2.0,1250,61.82,114,126,139,4
-2.0,1500,68.0,123,131,144,4
-2.0,1750,72.8,130,135,147,4
-2.0,2000,77.4,136,139,150,4
-2.0,2250,79.25,139,141,152,7
-2.0,2500,79.25,139,141,152,7
-2.0,2750,79.25,139,141,152,7
-1.0,1000,49.53,108,123,138,4
-1.0,1250,61.71,114,126,139,4
-1.0,1500,67.9,123,131,144,4
-1.0,1750,72.7,130,135,147,4
-1.0,2000,77.3,136,139,150,4
-1.0,2250,79.25,139,141,152,7
-1.0,2500,79.25,139,141,152,7
-1.0,2750,79.25,139,141,152,7
0.0,1000,49.3,108,123,138,4
0.0,1250,61.6,114,126,139,4
0.0,1500,67.8,123,131,144,4
0.0,1750,72.6,130,135,147,4
0.0,2000,77.2,136,139,150,4
0.0,2250,79.25,139,141,152,7
0.0,2500,79.25,139,141,152,7
0.0,2750,79.25,139,141,152,7
1.0,1000,49.07,108,123,138,4
1.0,1250,61.49,114,126,139,4
1.0,1500,67.71,123,131,144,4
1.0,1750,72.5,130,135,147,4
1.0,2000,77.1,136,139,150,4
1.0,2250,79.25,139,141,152,7
1.0,2500,79.25,139,141,152,7
1.0,2750,79.25,139,141,152,7
2.0,1000,48.84,108,123,138,4
2.0,1250,61.38,114,126,139,4
2.0,1500,67.62,123,131,144,4
2.0,1750,72.4,130,135,147,4
2.0,2000,77.0,136,139,150,4
2.0,2250,79.25,139,141,152,7
2.0,2500,79.25,139,141,152,7
2.0,2750,79.25,139,141,152,7
3.0,1000,48.61,108,123,138,4
3.0,1250,61.27,114,126,139,4
3.0,1500,67.53,123,131,144,4
3.0,1750,72.3,129,135,147,4
3.0,2000,76.9,136,139,150,4
3.0,2250,79.25,139,141,152,7
3.0,2500,79.25,139,141,152,7
3.0,2750,79.25,139,141,152,7
4.0,1000,48.38,108,123,138,4
4.0,1250,61.16,114,126,139,4
4.0,1500,67.44,123,131,144,4
4.0,1750,72.2,129,135,147,4
4.0,2000,76.8,136,139,150,4
4.0,2250,79.25,139,141,152,7
4.0,2500,79.25,139,141,152,7
4.0,2750,79.25,139,141,152,7
5.0,1000,48.15,108,123,138,4
5.0,1250,61.05,114,126,139,4
5.0,1500,67.35,122,130,144,4
5.0,1750,72.1,129,134,146,4
5.0,2000,76.7,136,138,150,4
5.0,2250,79.25,139,141,152,7
5.0,2500,79.25,139,141,152,7
5.0,2750,79.25,139,141,152,7
6.0,1000,47.92,108,123,138,4
6.0,1250,60.94,113,125,139,4
6.0,1500,67.26,122,130,143,4
6.0,1750,72.0,129,134,146,4
6.0,2000,76.6,135,138,149,4
6.0,2250,79.25,139,141,152,7
6.0,2500,79.25,139,141,152,7
6.0,2750,79.25,139,141,152,7
7.0,1000,47.69,108,123,138,4
7.0,1250,60.83,113,125,139,4
7.0,1500,67.17,122,130,143,4
7.0,1750,71.9,129,134,146,4
7.0,2000,76.5,135,138,149,4
7.0,2250,79.25,139,141,152,7
7.0,2500,79.25,139,141,152,7
7.0,2750,79.25,139,141,152,7
8.0,1000,47.46,108,123,138,4
8.0,1250,60.72,113,125,139,4
8.0,1500,67.08,122,130,143,4
8.0,1750,71.8,128,134,146,4
8.0,2000,76.4,135,138,149,4
8.0,2250,79.25,139,141,152,7
8.0,2500,79.25,139,141,152,7
8.0,2750,79.25,139,141,152,7
9.0,1000,47.23,108,123,138,4
