OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
-10.0,1000,45.6,108,123,138,4
-10.0,1250,58.7,113,124,138,4
-10.0,1500,65.4,121,129,142,4
-10.0,1750,69.9,128,133,145,4
-10.0,2000,74.4,134,137,148,4
-10.0,2250,78.2,140,140,151,4
-10.0,2500,79.25,141,141,152,7
-10.0,2750,79.25,141,141,152,7
-10.0,3000,79.25,141,141,152,7
-10.0,3250,79.25,141,141,152,7
-10.0,3500,79.25,141,141,152,7
-9.0,1250,58.57,113,124,138,4
-9.0,1500,65.3,121,129,142,4
-9.0,1750,69.8,128,133,145,4
-9.0,2000,74.29,134,137,148,4
-9.0,2250,78.1,140,140,151,4
-9.0,2500,79.25,141,141,152,7
-9.0,2750,79.25,141,141,152,7
-9.0,3000,79.25,141,141,152,7
-9.0,3250,79.25,141,141,152,7
-9.0,3500,79.25,141,141,152,7
-8.0,1250,58.44,113,124,138,4
-8.0,1500,65.2,121,129,142,4
-8.0,1750,69.7,128,133,145,4
-8.0,2000,74.18,134,137,148,4
-8.0,2250,78.0,140,140,151,4
-8.0,2500,79.25,141,141,152,7
-8.0,2750,79.25,141,141,152,7
-8.0,3000,79.25,141,141,152,7
-8.0,3250,79.25,141,141,152,7
-8.0,3500,79.25,141,141,152,7
-7.0,1250,58.31,112,124,138,4
-7.0,1500,65.1,120,129,142,4
-7.0,1750,69.6,127,133,145,4
-7.0,2000,74.07,133,137,148,4
-7.0,2250,77.9,139,140,151,4
-7.0,2500,79.25,141,141,152,7
-7.0,2750,79.25,141,141,152,7
-7.0,3000,79.25,141,141,152,7
-7.0,3250,79.25,141,141,152,7
-7.0,3500,79.25,141,141,152,7
-6.0,1250,58.18,112,124,138,4
-6.0,1500,65.0,120,129,142,4
-6.0,1750,69.5,127,133,145,4
-6.0,2000,73.96,133,137,148,4
-6.0,2250,77.8,139,140,151,4
-6.0,2500,79.25,141,141,152,7
-6.0,2750,79.25,141,141,152,7
-6.0,3000,79.25,141,141,152,7
-6.0,3250,79.25,141,141,152,7
-6.0,3500,79.25,141,141,152,7
-5.0,1250,58.05,112,124,138,4
-5.0,1500,64.9,120,129,142,4
-5.0,1750,69.4,127,132,145,4
-5.0,2000,73.85,133,136,148,4
-5.0,2250,77.7,139,140,150,4
-5.0,2500,79.25,141,141,152,7
-5.0,2750,79.25,141,141,152,7
-5.0,3000,79.25,141,141,152,7
-5.0,3250,79.25,141,141,152,7
-5.0,3500,79.25,141,141,152,7
